 t [s],a_x_raw [m/s^2],a_y_raw [m/s^2],a_z_raw [m/s^2],a_x_filtered [m/s^2],a_y_filtered [m/s^2],a_z_filtered [m/s^2]
  0.59,   -1.35,   -0.08,   -9.19,    0.02,   -0.05,   -0.10
  0.61,   -1.77,   -0.18,   -9.17,    0.01,    0.03,   -0.19
  0.63,   -1.71,   -0.53,   -9.23,   -0.03,   -0.02,   -0.22
  0.65,   -1.41,   -0.69,   -9.04,   -0.04,    0.01,   -0.23
  0.67,   -1.32,   -0.37,   -9.02,    0.04,    0.03,   -0.19
  0.69,   -1.78,   -0.70,   -9.57,    0.05,   -0.03,   -0.28
  0.71,   -1.95,   -0.62,   -9.68,    0.05,   -0.01,   -0.18
  0.73,   -1.77,   -0.62,   -9.17,    0.02,   -0.03,   -0.05
  0.76,   -1.99,   -0.84,   -8.84,    0.05,    0.01,   -0.09
  0.78,   -1.86,   -0.39,   -8.92,   -0.03,    0.02,   -0.04
  0.80,   -1.50,   -0.65,   -9.29,    0.05,    0.03,   -0.17
  0.82,   -1.12,   -0.52,   -9.49,    0.02,   -0.02,   -0.16
  0.84,   -1.29,   -0.46,   -9.35,   -0.09,    0.02,   -0.23
  0.86,    0.27,    1.45,   -9.73,   -0.03,    0.03,   -0.24
  0.88,   -0.47,   -0.02,  -10.53,    0.00,   -0.02,   -0.14
  0.90,   -0.47,    0.08,  -10.31,    0.10,    0.04,   -0.32
  0.92,   -0.69,   -0.12,   -9.53,   -0.00,   -0.08,   -0.10
  0.94,   -1.19,   -0.02,   -9.54,    0.02,    0.00,   -0.13
  0.97,   -1.47,   -0.29,   -9.42,    0.09,    0.02,   -0.22
  0.99,   -1.84,   -0.26,   -9.40,    0.07,   -0.01,   -0.16
  1.01,   -1.39,   -0.17,   -9.29,   -0.07,    0.02,   -0.30
  1.03,   -0.86,    0.25,   -8.31,   -0.13,   -0.07,   -0.14
  1.05,   -0.64,   -0.22,   -8.88,    0.09,    0.03,   -0.13
  1.07,   -0.63,   -0.02,   -9.67,   -0.01,    0.02,   -0.09
  1.09,   -0.85,   -0.37,   -9.87,   -0.05,    0.06,   -0.14
  1.11,   -1.16,   -0.66,   -9.92,   -0.05,    0.04,   -0.26
  1.13,   -1.26,   -0.56,   -9.75,   -0.02,   -0.05,   -0.25
  1.16,   -1.22,   -0.95,   -9.79,    0.08,    0.01,   -0.35
  1.18,   -0.72,   -1.26,  -11.06,   -0.04,   -0.02,   -0.21
  1.20,   -1.15,   -0.99,  -10.04,   -0.03,    0.03,   -0.07
  1.22,   -0.68,   -0.48,  -10.29,   -0.03,    0.05,   -0.06
  1.24,    0.08,   -0.13,  -10.21,   -0.04,    0.06,   -0.17
  1.26,    0.69,    0.55,   -9.90,   -0.04,    0.01,   -0.22
  1.28,    1.59,    0.73,   -9.27,    0.00,   -0.04,   -0.24
  1.30,    2.08,    1.16,   -8.97,    0.08,   -0.04,   -0.28
  1.32,    1.78,    1.59,   -9.21,    0.05,   -0.03,   -0.18
  1.34,    1.27,    2.28,   -9.84,    0.01,    0.05,   -0.16
  1.36,    1.48,    2.29,  -10.66,   -0.01,    0.03,   -0.10
  1.39,    2.05,    1.77,  -11.47,   -0.02,    0.04,   -0.14
  1.41,    2.38,    1.63,  -10.97,   -0.05,   -0.01,   -0.19
  1.43,    2.01,    1.54,  -10.38,    0.02,   -0.03,   -0.18
  1.45,    1.60,    1.51,   -9.53,    0.01,   -0.01,   -0.19
  1.47,   -0.19,    1.91,   -9.01,    0.05,   -0.03,   -0.06
  1.49,    1.92,    1.64,   -9.94,    0.08,    0.03,   -0.17
  1.51,    1.91,    1.73,   -9.90,   -0.02,   -0.03,   -0.25
  1.53,  -10.70,   -0.52,  -10.47,   -0.04,   -0.05,   -0.21
  1.55,    3.30,    1.36,  -10.52,   -0.04,   -0.01,   -0.17
  1.57,    1.50,    0.71,  -10.09,    0.02,    0.04,   -0.08
  1.60,    1.34,    0.06,   -9.52,    0.03,    0.01,   -0.13
  1.62,    1.82,   -0.02,   -9.36,    0.04,   -0.02,   -0.13
  1.64,    1.94,   -0.75,   -9.33,    0.01,   -0.01,   -0.19
  1.66,    1.54,   -0.48,   -9.59,    0.04,    0.01,   -0.23
  1.68,    1.41,   -0.24,   -9.51,    0.06,    0.03,   -0.19
  1.70,    1.58,   -0.37,   -9.22,    0.01,   -0.03,   -0.26
  1.72,    0.62,   -0.07,   -9.28,    0.03,    0.02,   -0.20
  1.74,    0.80,   -0.85,   -8.61,    0.01,   -0.01,   -0.16
  1.76,    1.29,   -1.15,   -8.82,    0.06,    0.01,   -0.26
  1.78,    1.20,   -1.84,   -9.58,    0.01,    0.04,   -0.18
  1.81,    1.02,   -1.45,   -9.59,    0.02,   -0.02,   -0.07
  1.83,    0.80,   -0.91,   -9.18,    0.00,    0.08,   -0.11
  1.85,    0.63,   -0.40,   -8.61,   -0.09,    0.06,   -0.22
  1.87,    0.42,   -0.62,   -8.35,    0.03,   -0.01,   -0.32
  1.89,    0.03,   -1.13,   -8.60,    0.07,   -0.04,   -0.18
  1.91,   -0.26,   -1.38,   -8.74,    0.08,   -0.00,   -0.15
  1.93,   -0.42,   -0.93,   -8.87,    0.02,    0.04,   -0.19
  1.95,   -0.42,   -1.04,   -8.97,   -0.02,    0.04,   -0.11
  1.97,   -0.43,   -0.88,   -8.84,   -0.02,    0.05,   -0.23
  2.00,   -0.74,   -0.86,   -8.67,   -0.01,   -0.05,   -0.13
  2.02,   -0.77,   -1.52,   -8.88,    0.08,   -0.03,   -0.14
  2.04,   -1.30,   -1.72,   -9.16,    0.04,    0.02,   -0.24
  2.06,   -0.78,   -0.93,   -8.97,    0.03,   -0.02,   -0.10
  2.08,   -1.16,   -1.06,   -8.45,   -0.01,    0.01,   -0.21
  2.10,   -1.18,   -1.43,   -8.17,   -0.03,    0.03,   -0.16
  2.12,   -1.55,   -0.91,   -8.50,    0.07,   -0.01,   -0.07
  2.14,   -1.76,   -1.47,   -8.82,    0.08,    0.01,   -0.17
  2.16,   -1.66,   -1.85,   -9.06,   -0.00,   -0.00,   -0.21
  2.18,   -1.95,   -1.99,   -8.99,    0.02,   -0.05,   -0.25
  2.21,   -2.17,   -1.71,   -8.90,    0.10,    0.01,   -0.19
  2.23,   -2.24,   -1.71,   -8.82,    0.07,   -0.00,   -0.18
  2.25,   -2.43,   -1.26,   -8.88,    0.01,    0.03,   -0.13
  2.27,   -2.50,   -2.18,   -9.17,    0.01,    0.03,   -0.17
  2.29,   -2.61,   -2.17,   -9.58,    0.00,   -0.02,   -0.27
  2.31,   -2.81,   -2.24,   -9.34,    0.02,    0.03,   -0.24
  2.33,   -2.81,   -2.18,   -9.14,    0.02,   -0.02,   -0.19
  2.35,   -2.77,   -2.14,   -9.01,    0.03,   -0.01,   -0.09
  2.37,   -2.77,   -2.50,   -9.57,    0.07,   -0.01,   -0.08
  2.39,   -2.79,   -2.70,   -9.77,    0.01,    0.00,   -0.14
  2.42,   -2.61,   -2.94,   -9.95,    0.00,    0.04,   -0.23
  2.44,   -2.93,   -2.43,  -10.03,    0.03,    0.00,   -0.22
  2.46,   -3.10,   -2.84,  -10.65,    0.04,    0.00,   -0.13
  2.48,   -2.36,   -2.75,  -10.26,    0.05,   -0.03,   -0.19
  2.50,   -2.38,   -2.63,   -9.53,   -0.07,   -0.01,   -0.18
  2.52,   -2.29,   -2.33,   -8.39,   -0.00,   -0.05,   -0.18
  2.54,   -2.19,   -2.12,   -8.11,    0.01,   -0.05,   -0.20
  2.56,   -1.88,   -2.28,   -8.80,   -0.01,    0.04,   -0.16
  2.58,   -1.69,   -2.47,   -9.45,    0.11,    0.00,   -0.10
  2.60,   -1.86,   -2.64,   -9.64,    0.04,    0.01,   -0.13
  2.62,   -2.03,   -2.42,   -9.68,    0.07,   -0.03,   -0.23
  2.65,   -2.03,   -2.86,   -9.10,    0.09,   -0.04,   -0.03
  2.67,   -2.04,   -2.48,   -8.77,    0.06,    0.03,   -0.06
  2.69,   -1.58,   -2.57,   -8.80,    0.14,   -0.01,   -0.34
  2.71,   -1.28,   -3.16,   -9.27,    0.08,   -0.01,   -0.20
  2.73,   -2.01,   -3.14,   -9.43,    0.03,   -0.01,   -0.11
  2.75,   -2.32,   -3.41,  -11.78,    0.05,   -0.02,   -0.20
  2.77,   -2.39,   -2.17,   -9.07,    0.09,   -0.04,   -0.17
  2.79,   -1.63,   -2.64,   -9.27,    0.09,   -0.01,   -0.20
  2.81,   -1.63,   -2.48,   -9.73,    0.01,    0.07,   -0.12
  2.83,   -1.74,   -2.15,   -9.65,   -0.01,    0.01,   -0.16
  2.86,   -2.28,   -2.24,   -9.23,    0.05,    0.06,   -0.29
  2.88,   -1.49,   -2.07,   -8.96,    0.06,    0.03,   -0.14
  2.90,   -1.22,   -1.89,   -9.42,   -0.01,   -0.03,   -0.14
  2.92,   -1.81,   -1.67,   -9.32,   -0.03,    0.01,   -0.17
  2.94,   -2.54,   -1.38,  -10.31,    0.12,   -0.01,   -0.13
  2.96,   -2.36,   -0.87,   -9.21,    0.14,   -0.01,   -0.28
  2.98,   -2.06,   -1.23,   -9.60,    0.05,   -0.04,   -0.26
  3.00,   -2.18,   -1.43,  -10.39,    0.09,    0.03,   -0.20
  3.02,   -1.80,   -0.51,  -10.29,    0.04,    0.01,   -0.27
  3.04,   -1.28,   -0.85,  -10.31,    0.07,   -0.01,   -0.18
  3.07,   -0.86,   -1.14,   -9.92,    0.05,    0.05,   -0.11
  3.09,   -0.94,    0.94,  -10.32,    0.04,   -0.01,   -0.19
  3.11,   -2.91,   -0.84,   -7.79,    0.11,    0.02,   -0.18
  3.13,   -1.77,   -0.63,   -9.31,    0.07,   -0.04,   -0.18
  3.15,   -1.56,    0.80,   -9.81,    0.06,   -0.00,   -0.11
  3.17,   -0.42,   -1.08,   -9.97,   -0.01,    0.08,   -0.02
  3.19,   -1.39,   -0.22,   -9.53,    0.09,    0.03,   -0.17
  3.21,   -1.56,   -0.13,   -9.42,    0.09,   -0.01,   -0.17
  3.23,   -2.37,    0.71,  -10.14,   -0.01,   -0.01,   -0.17
  3.25,   -4.61,    1.55,  -10.20,    0.07,    0.08,   -0.27
  3.28,   -3.70,    2.01,   -9.80,    0.00,    0.01,   -0.24
  3.30,   -4.11,    1.43,   -9.26,    0.06,    0.00,   -0.23
  3.32,   -3.60,    1.77,   -8.66,    0.08,    0.04,   -0.16
  3.34,   -2.98,    2.02,   -8.52,    0.14,    0.03,   -0.08
  3.36,   -2.25,    1.57,   -8.72,    0.18,    0.08,   -0.16
  3.38,   -2.27,    1.80,   -8.47,    0.02,   -0.05,   -0.22
  3.40,   -2.35,    2.05,   -8.40,    0.10,   -0.03,   -0.22
  3.42,   -2.41,    2.33,   -8.45,    0.11,    0.03,   -0.31
  3.44,   -1.88,    2.36,   -8.35,    0.16,   -0.01,   -0.17
  3.46,   -1.65,    1.59,   -9.12,    0.13,   -0.03,   -0.18
  3.49,   -2.03,    1.62,   -9.15,   -0.02,    0.05,   -0.24
  3.51,   -2.57,    2.24,   -8.83,    0.12,    0.07,   -0.11
  3.53,   -2.69,    2.22,   -8.51,    0.15,   -0.04,   -0.31
  3.55,   -2.58,    2.00,   -8.54,    0.16,    0.03,   -0.28
  3.57,   -2.38,    1.80,   -8.26,    0.10,    0.01,   -0.17
  3.59,   -2.64,    1.22,   -8.50,    0.11,    0.05,   -0.26
  3.61,   -2.76,    2.47,  -10.44,    0.14,    0.09,   -0.14
  3.63,   -3.65,    3.14,   -9.33,    0.04,    0.02,   -0.14
  3.65,   -3.19,    2.17,   -9.32,    0.14,    0.04,   -0.20
  3.67,   -3.24,    2.24,   -9.96,    0.12,   -0.04,   -0.26
  3.70,   -3.06,    0.73,   -9.47,    0.11,    0.02,   -0.14
  3.72,   -3.70,    0.76,   -9.58,    0.10,    0.07,   -0.01
  3.74,   -4.10,    0.99,   -9.62,    0.16,    0.05,   -0.20
  3.76,   -3.77,    0.29,  -10.04,    0.20,    0.11,   -0.17
  3.78,   -2.67,   -0.06,  -10.05,    0.03,    0.08,   -0.08
  3.80,   -2.57,   -0.13,   -9.41,    0.15,    0.10,   -0.21
  3.82,   -4.61,    1.62,  -12.10,    0.12,    0.06,   -0.27
  3.84,   -3.94,   -2.67,   -9.03,    0.08,    0.03,   -0.19
  3.86,   -4.21,   -0.31,   -8.01,    0.14,    0.09,   -0.21
  3.88,   -4.64,   -0.85,   -8.62,    0.08,    0.08,   -0.25
  3.91,   -4.55,   -0.96,   -8.58,    0.13,    0.00,   -0.19
  3.93,   -3.87,   -1.27,   -8.48,    0.16,   -0.00,   -0.18
  3.95,   -2.95,   -1.32,   -8.27,    0.18,    0.11,   -0.23
  3.97,   -2.40,   -1.42,   -8.25,    0.11,    0.03,   -0.31
  3.99,   -2.30,   -1.13,   -8.23,    0.11,   -0.02,   -0.20
  4.01,   -2.69,   -0.80,   -8.93,    0.21,    0.10,   -0.20
  4.03,   -2.21,   -1.12,   -9.54,    0.16,    0.07,   -0.36
  4.05,   -1.85,   -1.96,   -9.29,    0.05,    0.05,   -0.17
  4.07,   -1.60,   -2.57,   -7.75,    0.16,    0.05,   -0.10
  4.09,   -0.84,   -2.04,   -8.32,    0.18,   -0.01,   -0.18
  4.12,   -0.85,   -2.32,   -8.21,    0.13,    0.04,   -0.20
  4.14,   -1.98,   -0.57,   -8.52,    0.20,    0.10,   -0.23
  4.16,   -1.83,   -3.42,   -9.15,    0.14,    0.04,   -0.13
  4.18,   -2.44,   -1.45,   -8.90,    0.18,    0.03,   -0.04
  4.20,   -1.81,   -1.26,   -8.96,    0.15,    0.03,   -0.14
  4.22,   -0.94,   -1.96,  -10.07,    0.22,    0.06,   -0.31
  4.24,   -1.00,   -1.88,   -9.86,    0.20,    0.12,   -0.22
  4.26,   -1.16,   -2.03,   -9.31,    0.15,    0.03,   -0.23
  4.28,   -0.84,   -2.33,   -9.06,    0.30,    0.01,   -0.31
  4.30,   -0.69,   -1.72,   -8.91,    0.24,    0.05,   -0.16
  4.33,   -1.17,   -2.16,   -9.61,    0.26,    0.07,   -0.17
  4.35,   -1.50,   -2.35,  -10.35,    0.19,    0.11,   -0.12
  4.37,   -1.18,   -2.08,  -10.54,    0.23,    0.09,   -0.19
  4.39,   -0.80,   -1.69,  -10.20,    0.19,    0.09,   -0.29
  4.41,   -0.08,   -1.71,   -9.44,    0.13,    0.05,   -0.21
  4.43,   -0.23,   -0.23,   -9.23,    0.24,    0.15,   -0.26
  4.45,    0.73,   -3.68,   -9.99,    0.16,    0.15,   -0.19
  4.47,    2.14,   -3.21,   -9.70,    0.24,    0.05,   -0.22
  4.49,    0.69,   -2.11,   -9.20,    0.17,    0.11,   -0.27
  4.51,    0.07,   -2.13,   -8.74,    0.23,    0.12,   -0.20
  4.54,   -0.25,   -3.40,   -8.37,    0.31,    0.09,   -0.20
  4.56,    0.37,   -3.24,   -8.53,    0.18,    0.08,   -0.18
  4.58,    0.49,   -3.11,   -8.23,    0.25,    0.13,   -0.18
  4.60,    0.09,   -2.97,   -8.79,    0.30,    0.10,   -0.23
  4.62,   -0.26,   -2.38,   -8.41,    0.30,    0.11,   -0.27
  4.64,    0.02,   -2.94,   -8.80,    0.18,    0.15,   -0.20
  4.66,    0.32,   -2.93,   -8.84,    0.23,    0.06,   -0.21
  4.68,   -0.06,   -3.19,   -9.26,    0.34,    0.10,   -0.33
  4.70,    0.08,   -2.79,   -9.45,    0.31,    0.11,   -0.33
  4.72,   -0.09,   -2.44,   -9.19,    0.33,    0.13,   -0.20
  4.75,    0.16,   -2.47,   -9.48,    0.32,    0.13,   -0.20
  4.77,    0.06,   -2.76,   -9.41,    0.30,    0.08,   -0.34
  4.79,   -0.04,   -2.41,   -9.23,    0.36,    0.11,   -0.31
  4.81,   -0.32,   -2.21,   -9.28,    0.29,    0.09,   -0.24
  4.83,   -0.29,   -2.34,   -9.35,    0.24,    0.06,   -0.26
  4.85,   -0.29,   -2.12,   -9.21,    0.37,    0.09,   -0.34
  4.87,   -0.39,   -2.20,   -8.73,    0.34,    0.11,   -0.28
  4.89,    0.13,   -1.93,   -9.34,    0.40,    0.18,   -0.26
  4.91,   -0.59,   -1.53,  -10.38,    0.23,    0.16,   -0.35
  4.93,   -1.07,   -1.24,  -10.97,    0.22,    0.09,   -0.27
  4.96,   -1.26,   -1.27,  -11.16,    0.37,    0.16,   -0.23
  4.98,   -1.49,   -0.89,  -10.78,    0.29,    0.11,   -0.24
  5.00,   -1.33,   -0.82,   -9.80,    0.39,    0.12,   -0.27
  5.02,   -1.03,   -1.16,   -8.96,    0.26,    0.13,   -0.28
  5.04,   -0.79,   -1.14,   -8.46,    0.35,    0.12,   -0.26
  5.06,   -0.77,   -1.36,   -8.69,    0.37,    0.15,   -0.24
  5.08,   -0.60,   -1.09,   -9.48,    0.35,    0.08,   -0.28
  5.10,   -0.68,   -0.47,  -10.52,    0.40,    0.18,   -0.25
  5.12,   -0.47,   -0.76,  -11.27,    0.31,    0.14,   -0.19
  5.14,   -0.25,   -0.73,  -10.86,    0.43,    0.18,   -0.35
  5.17,   -0.29,   -0.76,   -9.34,    0.31,    0.21,   -0.31
  5.19,   -0.24,   -0.82,   -8.35,    0.37,    0.09,   -0.26
  5.21,   -0.41,   -1.10,   -7.88,    0.45,    0.17,   -0.36
  5.23,   -0.68,   -0.66,   -8.34,    0.44,    0.11,   -0.19
  5.25,   -0.94,   -0.36,   -8.68,    0.45,    0.17,   -0.18
  5.27,   -0.92,   -0.14,   -9.13,    0.39,    0.16,   -0.23
  5.29,   -0.91,   -0.02,   -9.77,    0.43,    0.16,   -0.20
  5.31,   -0.95,   -0.04,  -10.21,    0.43,    0.21,   -0.30
  5.33,   -0.97,    0.10,  -10.34,    0.43,    0.16,   -0.25
  5.36,   -1.33,    0.12,  -10.05,    0.34,    0.24,   -0.17
  5.38,   -1.38,    0.24,  -10.03,    0.42,    0.21,   -0.29
  5.40,   -1.35,    0.19,  -10.02,    0.40,    0.17,   -0.27
  5.42,   -1.26,    0.27,  -10.24,    0.39,    0.16,   -0.25
  5.44,   -1.00,    0.87,  -10.20,    0.42,    0.21,   -0.23
  5.46,   -1.44,    1.34,  -10.67,    0.48,    0.17,   -0.23
  5.48,   -1.63,    1.58,  -10.65,    0.54,    0.19,   -0.29
  5.50,   -1.35,    1.56,  -11.20,    0.43,    0.23,   -0.21
  5.52,   -0.31,    0.10,  -11.04,    0.46,    0.20,   -0.29
  5.54,    0.24,    0.55,  -10.14,    0.40,    0.21,   -0.35
  5.57,    0.71,    0.30,   -9.73,    0.49,    0.17,   -0.21
  5.59,    0.50,    0.33,   -9.75,    0.50,    0.26,   -0.20
  5.61,    0.17,   -0.20,   -9.60,    0.49,    0.16,   -0.25
  5.63,    0.53,   -0.58,   -9.29,    0.53,    0.22,   -0.19
  5.65,    0.68,   -0.57,   -9.00,    0.46,    0.27,   -0.17
  5.67,    0.49,   -0.82,   -9.09,    0.50,    0.20,   -0.28
  5.69,    0.43,   -0.67,   -9.30,    0.48,    0.25,   -0.26
  5.71,    0.23,   -0.74,   -9.18,    0.55,    0.17,   -0.27
  5.73,   -0.43,   -0.77,   -9.17,    0.49,    0.26,   -0.27
  5.75,   -0.35,   -0.88,   -9.06,    0.57,    0.19,   -0.33
  5.78,   -0.77,   -1.07,   -9.30,    0.55,    0.26,   -0.25
  5.80,   -1.00,   -1.18,   -9.60,    0.52,    0.27,   -0.20
  5.82,   -0.79,   -1.28,   -9.63,    0.54,    0.23,   -0.29
  5.84,   -0.67,   -1.26,   -9.91,    0.44,    0.30,   -0.21
  5.86,   -0.60,   -1.25,   -9.84,    0.57,    0.09,   -0.45
  5.88,   -0.74,   -1.22,   -9.48,    0.50,    0.68,    0.39
  5.90,   -0.44,   -1.26,   -9.83,    0.19,    1.03,    1.88
  5.92,   -0.58,   -1.03,   -9.47,   -0.25,    0.58,    2.18
  5.94,   -0.57,   -0.98,   -9.51,   -0.47,    0.29,    1.96
  5.96,   -0.82,   -1.22,   -9.42,   -0.57,    0.16,    1.55
  5.99,   -1.26,   -1.18,   -9.17,   -0.23,    0.28,    1.47
  6.01,   -1.59,   -1.01,   -9.31,   -0.26,    0.26,    1.21
  6.03,   -1.95,   -0.84,   -9.80,   -0.91,    0.29,    0.42
  6.05,   -2.33,   -1.01,   -9.99,   -0.76,    0.21,   -0.39
  6.07,   -2.22,   -1.01,   -9.35,   -0.31,   -0.34,   -1.14
  6.09,   -2.25,   -0.96,   -8.73,   -0.02,   -0.26,   -0.72
  6.11,   -2.18,   -0.92,   -8.67,   -0.31,    0.21,   -0.20
  6.13,   -2.50,   -0.80,   -8.48,   -0.29,    0.08,   -0.27
  6.15,   -2.38,   -0.80,   -8.59,   -0.17,   -0.16,   -0.13
  6.17,   -2.66,   -0.93,   -8.56,   -0.11,   -0.22,   -0.45
  6.20,   -2.72,   -0.72,   -8.50,    0.08,   -0.03,   -0.68
  6.22,   -3.08,   -0.62,   -9.28,   -0.14,    0.15,   -0.87
  6.24,   -3.11,   -0.61,   -9.92,   -0.18,   -0.05,   -1.17
  6.26,   -3.41,   -0.56,  -10.15,   -0.61,    0.06,   -0.81
  6.28,   -3.25,   -0.72,   -9.59,   -0.79,    0.34,   -0.58
  6.30,   -3.19,   -0.97,   -8.67,   -1.21,    0.36,   -0.54
  6.32,   -3.06,   -1.26,   -8.48,   -1.28,    0.14,   -0.52
  6.34,   -2.87,   -1.27,   -8.36,   -0.93,    0.05,   -0.51
  6.36,   -2.88,   -1.33,   -8.53,   -0.99,    0.12,   -0.21
  6.38,   -2.88,   -1.39,   -8.85,   -0.81,    0.31,   -0.08
  6.41,   -2.85,   -1.58,   -9.06,   -1.16,    0.28,    0.14
  6.43,   -2.78,   -1.67,   -9.52,   -1.02,    0.01,    0.51
  6.45,   -2.98,   -1.69,   -9.54,   -0.86,    0.22,    0.47
  6.47,   -3.11,   -1.31,   -9.45,   -0.74,    0.19,    0.16
  6.49,   -3.20,   -1.61,   -9.62,   -0.94,    0.17,    0.09
  6.51,   -3.23,   -1.61,   -9.30,   -1.27,   -0.03,    0.09
  6.53,   -3.41,   -1.76,   -8.95,   -0.90,   -0.46,    0.09
  6.55,   -3.39,   -1.45,   -8.77,   -0.76,   -0.15,    0.35
  6.57,   -3.50,   -1.64,   -8.99,   -0.86,   -0.27,    0.00
  6.59,   -3.20,   -1.56,   -9.00,   -1.37,   -0.38,   -0.45
  6.62,   -2.96,   -1.48,   -9.58,   -1.20,   -0.30,   -0.17
  6.64,   -2.94,   -1.19,  -10.20,   -1.22,   -0.45,    0.31
  6.66,   -2.29,   -0.86,   -9.41,   -1.39,   -0.35,    0.46
  6.68,   -1.48,   -1.35,   -8.92,   -1.02,   -0.16,    0.17
  6.70,   -1.04,   -1.42,   -8.71,   -0.62,   -0.25,   -0.16
  6.72,   -0.72,   -1.24,   -9.57,   -0.62,   -0.41,   -0.17
  6.74,   -1.02,   -0.82,   -9.89,    0.07,    0.96,   -0.14
  6.76,   -1.23,   -0.76,   -9.44,    0.89,    1.27,   -0.90
  6.78,   -1.15,   -1.12,   -9.24,   -0.06,    0.10,   -1.33
  6.80,   -1.07,   -1.38,   -9.15,    0.26,    0.40,   -0.58
  6.83,   -1.14,   -1.27,   -9.20,   -0.26,    0.27,   -0.22
  6.85,   -1.18,   -1.32,   -9.44,   -0.74,    0.14,   -0.24
  6.87,   -1.25,   -1.53,   -9.31,   -0.81,    0.14,   -0.10
  6.89,   -1.28,   -1.69,   -8.96,   -1.24,   -0.03,   -0.19
  6.91,   -1.34,   -1.86,   -8.67,   -0.11,    0.57,    0.47
  6.93,   -1.21,   -2.12,   -8.68,   -0.24,    0.31,    0.92
  6.95,   -1.32,   -2.20,   -8.98,    0.29,    0.24,   -0.15
  6.97,   -1.22,   -1.96,   -9.11,   -0.08,    0.24,   -0.52
  6.99,   -1.33,   -1.90,   -8.93,   -0.29,   -0.23,   -0.64
  7.01,   -1.39,   -2.29,   -9.03,   -0.37,   -0.21,   -0.67
  7.04,   -1.34,   -2.34,   -9.34,   -0.77,   -0.35,   -0.25
  7.06,   -1.35,   -2.29,   -9.52,    0.11,   -0.76,   -1.33
  7.08,   -1.50,   -2.09,   -9.58,   -0.44,   -0.85,   -1.40
  7.10,   -1.59,   -2.08,   -9.53,   -0.00,   -0.29,   -0.72
  7.12,   -1.33,   -2.11,   -9.66,    0.26,    0.03,   -1.12
  7.14,   -1.51,   -1.94,   -9.54,    1.33,    0.62,   -0.81
  7.16,   -2.06,   -1.61,   -9.77,    1.83,    1.10,   -0.33
  7.18,   -2.24,   -1.88,   -9.51,    2.68,    1.26,    0.18
  7.20,   -2.07,   -1.06,   -9.85,    3.02,    1.83,    0.28
  7.22,   -2.32,   -0.37,  -10.73,    1.92,    2.27,   -0.31
  7.25,   -2.78,   -0.46,  -10.82,    2.58,    2.91,   -0.89
  7.27,   -3.11,   -0.43,  -10.58,    2.00,    2.36,   -1.97
  7.29,   -3.09,   -0.21,  -10.68,    3.71,    2.11,   -2.06
  7.31,   -3.04,   -0.51,  -11.01,    2.53,    2.04,   -1.41
  7.33,   -2.48,   -0.77,  -10.75,    3.09,    1.83,   -0.78
  7.35,   -2.48,   -0.61,   -9.56,    1.52,    2.28,    0.19
  7.37,   -2.42,   -0.55,   -8.51,    0.51,    2.05,   -0.22
